"id"	"main"	"main_text"	"topic"
728	1	"과거에 이게 다 노무현 때문이다로 재미봤던 세력들이       문재인 대통령 지지율이 높으니 그쪽으로는 안 되겠고       이게 다 민주당 때문이다로 밀고 있는 것 같은 분위기가 느껴집니다. 혹은 조국 때문이다도 있구요.       제가 볼 때는 국민의힘 검찰 언론 때문인 것이 훨씬 더 많은 것 같은데 비판(혹은 비난)의 대상으로 민주당이 훨씬 더 많이 거론되는 것 같네요."	"Topic1"
943	1	"1. 안철수당하고 합당 올스톱    이준석은 안철수하고 노원병 지역구 출마를 가지고 대판 싸웠던 적이 있습니다. 한마디로 같은 배를 탈 수 없는 사이죠. 합당 합의는 나가리가 되버릴겁니다.      2. 윤석열하고 데면데면    국민의힘당은 지금 대선주자가 지리멸렬해서 윤석열 지지율 끌어오자고 윤석열한테 자꾸 침바르는 중인데 이이준석 당대표 되면 이준석 체제에서 대선 치뤄야 됩니다. 윤석열이 자길 탄탄한 국민의힘당 대선후보로 만들어 줄것이라 믿고 국민의힘당에 들어갈까요 음.. 이준석을 얕잡아보고 당을 먹기 위해 들어올 생각이라면 가능할테지만 그런 조짐을 보이면 이준석부터가 거리를 둘텐데요.      3. 당내 중진들의 반발    한번도 당선 되어 본 적 없는 30대 새파란 꼬꼬마한테 검찰하고 언론하고 끈적끈적한 국민의힘당 34선 60대들이 고분고분 하겠습니까 과거 민주당에서 당권을 내놓으라고 꼬장 부리던 김한길 안철수 정동영의 몽니수준은 그냥 애교로 보일 지경으로 흔들어댈 겁니다.      4. 페미와의 관계 재설정    지금 이이준석 급부상하는게 안티페미니즘 대표주자처럼 행동해서 젊은층이 밀어주는것이라는 분석이 많은데 페미하고 치고받고 하면서 소수파일때나 가능한 얘기지 페미들이 모든 정당에서 여성정책 담당자 자리를 꿰차고 있는 현실에서 당 대표로서 페미들 나가 해버리면 그 페미들이 제대로 화살을 민주당에서 이준석 지도부한테 돌리게 될겁니다.       뭐 그런 거죠. 이이준석 국민의힘당 대표되면 아주 끝내주는 국민의힘당 아수라장이 펼쳐질 거예요. 꼭 되길 바랍니다."	"Topic1"
1091	1	"세븐일레븐       펩시제로 500ml 11   나랑드사이다 245ml 21   펩시제로 355ml 21   칠성사이다제로 500ml 21           CU       펩시제로 500ml 11               미니스톱       나랑드사이다 255ml 11   펩시제로 500ml 21   펩시제로 355ml 11   칠성사이다제로 500ml 21   스프라이트제로 500ml 21               저는 논란회피의 달인입니다."	"Topic1"
1098	1	"박성민씨는 최고위원 지명 받자마자 직책당비로 왜 거짓말 하냐고 언플 미리하냐  . 등등으로 최고위원 경력 날로 먹는다고 당원.지지자들에게  한소리 듣은 사람으로 기억해요.   외부에서 온 사람이라면 모를까 계속 당 생활하면 직책당비 50인거 알텐데 몰랐나  150이라고  언론기사 한번 도배가 됐죠....50도 비싼가  하몀 갸우뚱 합니다.남들음 경력 한줄 쌓으려고 알바.인턴 인생 갈려나가거나 자격증이나 공무원 시험 한다면서 대학교 휴학하고 학원비 쏟아붇거 또 학원비 때문에 알바 하는데 문재인 대통령의 여당 민주당의 최고위원 경력이 월 50이면  그렇게 비싼것 같지고 읺고 정 없으면 휴학하고 알바라도 할텐데 직책당비 할인 받고...학교 다니면서 당직도 같이 했죠 .       이러면서 청년이니 젠더 운운 하니 ....      예전에 민주당에서 청년비례 하던 김광진이나 장하나도 이렇지는 않았는데..."	"Topic1"
1109	1	"국민의 대표라는 분이 쓴소리하는 국민의 목소리도 안들을려고 하는것을 쇄신파로 포장하는 조선 환장의 콜라보"	"Topic1"
1113	1	"대선 나오실 깜은 이제 아니시라고 보는데요.       혼자 이런거 막 질러서 괜히 민주당에 똥물 안튀기셨으셨으면 좋겠네요.       이런게 진짜 포퓰리즘 같은데요.   그 긴 정치 인생동안 뭐하시고 이제야 20대 청년 생각한다고 그러는지 모르겠네요.       민주당 경선 전에 쓰잘데 없는 후보들은 그냥 조용히 있었으면 합니다. 괜히 저쪽당에 욕먹을 빌미 주지말고요.       httpnews.khan.co.krkh_newskhan_art_view.htmlart_id"	"Topic1"
1370	1	"지난 재보궐은 국민들이 얼마나 문재인 정부를 불신하고 민주당에 분노해있는지 단적으로 보여준 선거라고 봅니다.   저야 목에 칼이 들어와도 국민의힘 찍을 생각은 없지만 주변 사람들 얘기 들어보면 문재인 정부부동산실패 심하게는 방역가지고도 까고 차라리 전정권때가 부정부패는 심한 걸 인정하면서도 살기에는 좋았다는 사람들도 꽤 많네요.   더군다나 페미 이슈에도 상당히 민감합니다.   여자들도 정정당당하게 살아가고 싶지 페미 아래 무조건적인 보호와 우대를 원하지는 않더라구요.   민주당 정권이 못하니 국민의힘을 찍어서 민주당에 정치적 법적 책임을 묻겠다는 사람들 보면 정치를 바라보는 시각이 저 같지만은 않네요.   오히려 가끔은 제가 비정상적이라고 느껴지기까지 합니다.      언론 탓도 크지만 지지율은 점점 낮아져가고있고 문재인 정부가 더이상 국민들의 욕구를 충족시켜주지 못하고 국민들이 점점 국민의힘에 기대는 모양새라 안타깝습니다.   이제 정권 연장을 위해서는 야권분열(국민의힘 안철수 윤석열 각자 출마)에 기댈 수 밖에 없는 상황이 되어가네요.   180석 만들어줬더니 방향타도 잃고 뭔가 맛이 가버린 듯 합니다.      참여정부 말기에는 이명박 박근혜 개인 브랜드도 강해서 현재(참여정부)도 나쁘지 않지만 더 부자되고 더 잘살고 싶은 욕망에 정권교체를 이루었지만 지금은 국민의힘에 그정도 인물이 없음에도 지금 정부가 너무 못하고 나쁘니까 국민의힘이나 야권 찍으려 드는 듯 합니다.      긍정적으로 마음을 가져보려해도 민주당에 망조가 드는 건 맞는 것 같습니다. 우리가 생각하는 상상 그 이상으로 정치판이든 민심이든 심상치않게 돌아가고 있습니다."	"Topic1"
1372	1	"2016년 부산시당 전국대의원으로 선출. 제2차 정기전국대의원대회 대절버스타고 추미애 대표님께 한표 던지고 온 기억이 있네요.      1년뒤 경선부터 문재인 대통령 당선. 2018년 이해찬대표 당선. 더 할 나위없는 행복과 안정감의 연속이었습니다.      이후 터져나오는 당 내 페미이슈. 2020년 총선 이후 이상하리만치 더딘 개혁..      불과 작년까지 20대였던 남자인 저는 쓴 맛 똥 맛 다 보고 뒷통수 여러번 맞아도 믿고 지지해야할 빚이 더불어민주당에겐 없습니다.      이것이 제가 열린민주당 입당 인증글까지 올린 이유입니다."	"Topic1"
1412	1	"페미 손절치라 그러시는데.      솔직히 지지율 투표성향만 봐도 뚜렷하게      2030대 층에서는 여성표 민주당 남성표 국민의힘인데요.   페미 빼면 1020프로는 지지율 빠질거 같은데      페미 까도 정말 괜찮은건가요      민주당이 페미를 손절 칠 경우   페미표가 결코 집토끼는 아니거든요   걔들이 국민의힘은 안찍어도   여성계 군소정딩이나 정의당이라는 대안이 있으니까.      그럼 민주당 지지자들은 진짜 소수일텐데.      뭐 이재명 개인 인기가 상당하니 괜찮은가요"	"Topic1"
1481	1	"1. 재보궐 선거 패배 조국 때문이다   2. 오늘 젠더 토론회. 진석사와 짝짝꿍.      너무합니다 이소영 의원....   이러니 있던 표도 떠나가지 ..."	"Topic1"
